MP,Party,PGroup,Constituency,Gender,Advice,BooksArticles,Job,Speeches,Survey,TVRadio,Uncategorised,Total,Party_Conservative,Party_Labour,Party_Liberal.Democrat,Party_Other,Party_Scottish.National.Party,ons_id,ons_region_id,county_name,region_name,country_name,constituency_type,declaration_time,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner,conp,labp,majp,birth_date,email,family_name,gender,given_name,id,image,sort_name,honorific_prefix,death_date,dob,age,wiki,alma,oxbridge,totalfit,confit,labfit,xcentre,ycentre
Tom Brake,Lib Dem,Other,Carshalton And Wallington,Male,0,0,0,0,0,0,0,0,0,0,1,0,0,E14000621,E12000007,London,London,England,Borough,09/06/2017 03:35,LD hold,LD,Con,70849,50753,97,1369,19450,9360,20819,0,501,0,0,0,0,0,0,0,623,0,0.383228578,0.184422596,2.6973775,06/05/1962,info@tombrake.co.uk,Brake,male,Thomas,01fbdbc4-1cf7-4da3-a91c-1df42f806716,https://candidates.democracyclub.org.uk/media/images/5481e8e3b150e238702c060f.png,"Brake, Tom",The Right Honourable,NA,06/05/1962,59,https://en.wikipedia.org/wiki/Tom_Brake,Imperial College London,FALSE,NA,NA,NA,-1.108212806,51.21507325
Kevin Brennan,Labour,Labour,Cardiff West,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,W07000079,W92000004,South Glamorgan,Wales,Wales,Borough,09/06/2017 03:32,Lab hold,Lab,Con,66775,46629,89,12551,13874,26425,1214,698,0,0,4418,0,0,0,0,0,0,0,0.297540157,0.566707414,26.9167256,16/10/1959,brennank@parliament.uk,Brennan,male,Kevin,d5f39a5a-e7ce-423a-aad8-90fa5f8a5fca,https://candidates.democracyclub.org.uk/media/images/55357476367dc5383f552cdd.png,"Brennan, Kevin",NA,NA,16/10/1959,62,https://en.wikipedia.org/wiki/Kevin_Brennan_(politician),"Pembroke College, OxfordCardiff UniversityUniversity of South Wales",TRUE,NA,NA,NA,-4.641973564,51.91086655
Deidre Brock,SNP,Other,Edinburgh North And Leith,Female,0,0,0,0,0,0,0,0,0,0,0,0,1,S14000023,S92000003,Scotland,Scotland,Scotland,Borough,09/06/2017 04:03,SNP hold,SNP,Lab,79473,56552,72,1625,15385,17618,2579,0,1727,19243,0,0,0,0,0,0,0,0,0.272050502,0.311536285,2.8734616,08/12/1961,deidre.brock.mp@parliament.uk,Brock,female,Deidre,da7db01f-0ffa-49bf-a67f-addd31dd2e52,https://candidates.democracyclub.org.uk/media/images/553ba196b9c95afe74c5d324.png,"Brock, Deidre",NA,NA,08/12/1961,60,https://en.wikipedia.org/wiki/Deidre_Brock,Curtin UniversityWestern Australian Academyof Performing Arts,FALSE,NA,NA,NA,-3.011007437,56.75209056
James Brokenshire,Conservative,Conservative,Old Bexley And Sidcup,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,E14000869,E12000007,London,London,England,Borough,09/06/2017 04:21,Con hold,Con,Lab,66005,48042,99,15466,29545,14079,1572,1619,820,0,0,0,0,0,0,0,407,0,0.614982723,0.293056076,32.1926648,08/01/1968,james.brokenshire.mp@parliament.uk,Brokenshire,male,James,a50a275a-302c-44f8-9585-a53833b23e7d,https://candidates.democracyclub.org.uk/media/images/5534f2edb247335574a42e22.png,"Brokenshire, James",The Right Honourable,NA,08/01/1968,53,https://en.wikipedia.org/wiki/James_Brokenshire,University of ExeterLondon Guildhall University,FALSE,NA,NA,NA,0.522755037,51.41495787
Nick Brown,Labour,Labour,Newcastle Upon Tyne East,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,E14000832,E12000001,Tyne and Wear,North East,England,Borough,08/06/2017 23:56,Lab hold,Lab,Con,61989,41637,84,19261,8866,28127,2574,1315,755,0,0,0,0,0,0,0,0,0,0.21293561,0.675528977,46.2593366,13/06/1950,nickbrownmp@parliament.uk,Brown,male,Nick,50b29f21-b0a6-4987-bcf0-2be2d6268c1b,https://candidates.democracyclub.org.uk/media/images/images/1376.png,"Brown, Mr Nicholas",The Right Honourable,NA,13/06/1950,71,https://en.wikipedia.org/wiki/Nick_Brown,University of Manchester,FALSE,NA,NA,NA,-1.923695557,56.22239876
Lyn Brown,Labour,Labour,West Ham,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,E14001032,E12000007,London,London,England,Borough,09/06/2017 03:33,Lab hold,Lab,Con,92418,60708,161,36754,9837,46591,1836,1134,957,0,0,0,0,0,0,0,353,0,0.162037952,0.767460631,60.5422679,13/04/1960,brownl@parliament.uk,Brown,female,Lyn,898c9849-e98e-40a1-82ae-a5a6665c1b5d,https://candidates.democracyclub.org.uk/media/images/553c97dc42c427035c8db3ea.png,"Brown, Lyn",NA,NA,13/04/1960,61,https://en.wikipedia.org/wiki/Lyn_Brown,University of Roehampton,FALSE,NA,NA,NA,0.250925764,52.10771151
Karen Buck,Labour,Labour,Westminster North,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,E14001036,E12000007,London,London,England,Borough,09/06/2017 02:36,Lab hold,Lab,Con,63846,43295,192,11512,14422,25934,2253,0,595,0,0,0,0,0,0,0,91,0,0.333110059,0.599006814,26.5896755,30/08/1958,buckk@parliament.uk,Buck,female,Karen,83c13d58-ea7d-42c2-bd37-ad193c9ca00b,https://candidates.democracyclub.org.uk/media/images/5502a94a4a4c7d71797616b8.png,"Buck, Ms Karen",NA,NA,30/08/1958,63,https://en.wikipedia.org/wiki/Karen_Buck,London School of Economics,FALSE,NA,NA,NA,-1.108212806,52.00939727
Robert Buckland,Conservative,Conservative,South Swindon,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,E14000947,E12000009,Wiltshire,South West,England,County,09/06/2017 01:10,Con hold,Con,Lab,72372,51271,87,2464,24809,22345,2079,1291,747,0,0,0,0,0,0,0,0,0,0.483879776,0.43582142,4.8058357,22/09/1968,robert.buckland.mp@parliament.uk,Buckland,male,Robert,cc1ae2ef-bf24-4351-b42c-ddbea4c4d7d6,https://candidates.democracyclub.org.uk/media/images/5535011eb247335574a42e51.png,"Buckland, Robert",NA,NA,22/09/1968,53,https://en.wikipedia.org/wiki/Robert_Buckland,Inns of Court School of LawDurham University,FALSE,NA,NA,NA,-3.282835117,51.41495787
Richard Burgon,Labour,Labour,Leeds East,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,E14000778,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,09/06/2017 03:09,Lab hold,Lab,Con,65950,41441,89,12752,12676,25428,739,1742,434,0,0,0,0,0,0,0,422,0,0.30588065,0.613595232,30.7714582,19/09/1980,richard@richardburgon.com,Burgon,male,Richard,a565152e-b57f-4b79-b19f-9490ea77dd18,https://candidates.democracyclub.org.uk/media/images/553ca0dddeda58bc5cca66e9.png,"Burgon, Richard",NA,NA,19/09/1980,41,https://en.wikipedia.org/wiki/Richard_Burgon,"St John's College, Cambridge",TRUE,NA,NA,NA,-1.380040571,55.32305614
Liam Byrne,Labour,Labour,"Birmingham, Hodge Hill",Male,0,0,0,0,0,0,0,0,0,1,0,0,0,E14000563,E12000005,West Midlands,West Midlands,England,Borough,09/06/2017 03:35,Lab hold,Lab,Con,75698,46394,159,31026,6580,37606,805,1016,387,0,0,0,0,0,0,0,0,0,0.141828685,0.810578954,66.8750269,02/10/1970,byrnel@parliament.uk,Byrne,male,Liam,8b314ba8-5889-4523-97bd-4990a83ec577,https://candidates.democracyclub.org.uk/media/images/553b88b77b9de399275bb494.png,"Byrne, Liam",The Right Honourable,NA,02/10/1970,51,https://en.wikipedia.org/wiki/Liam_Byrne,University of ManchesterHarvard University,FALSE,NA,NA,NA,-2.195521903,53.36618925
Ruth Cadbury,Labour,Labour,Brentford And Isleworth,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,E14000593,E12000007,London,London,England,Borough,09/06/2017 03:32,Lab hold,Lab,Con,85164,61629,156,12182,23182,35364,3083,0,0,0,0,0,0,0,0,0,0,0,0.376154083,0.573820766,19.7666683,14/05/1959,ruthcadburymp@parliament.uk,Cadbury,female,Ruth,d83c792e-c9b8-4fed-8db0-02200e954451,https://candidates.democracyclub.org.uk/media/images/5481e7b2b150e238702c055a.png,"Cadbury, Ruth",NA,NA,14/05/1959,62,https://en.wikipedia.org/wiki/Ruth_Cadbury,University of Salford,FALSE,NA,NA,NA,-1.380040571,51.51457439
Alun Cairns,Conservative,Conservative,Vale Of Glamorgan,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,W07000078,W92000004,South Glamorgan,Wales,Wales,County,09/06/2017 02:04,Con hold,Con,Lab,73959,53718,63,2190,25501,23311,1020,868,419,0,2295,0,0,0,0,0,304,0,0.474719833,0.433951376,4.0768458,30/07/1970,alun.cairns.mp@parliament.uk,Cairns,male,Alun,8a7d21e4-45c5-4183-a0f3-a7457116a2d1,https://candidates.democracyclub.org.uk/media/images/55357117367dc5383f552cc4.png,"Cairns, Alun",NA,NA,30/07/1970,51,https://en.wikipedia.org/wiki/Alun_Cairns,"University of Wales, Newport (now the University of South Wales)",FALSE,NA,NA,NA,-4.913802035,51.81211826
Lisa Cameron,SNP,Other,"East Kilbride, Strathaven And Lesmahagow",Female,0,0,0,0,0,0,0,0,0,0,0,0,1,S14000019,S92000003,Scotland,Scotland,Scotland,County,09/06/2017 02:03,SNP hold,SNP,Lab,80442,54102,81,3866,13704,17157,1590,628,0,21023,0,0,0,0,0,0,0,0,0.253299324,0.317123212,7.1457617,08/04/1972,lisa.cameron.mp@parliament.uk,Cameron,female,Lisa,bf053026-271a-4775-a8bd-af94db950e80,https://candidates.democracyclub.org.uk/media/images/54fde3b91ccf185f0d8cc4b2.png,"Cameron, Dr Lisa",NA,NA,08/04/1972,49,https://en.wikipedia.org/wiki/Lisa_Cameron,University of StrathclydeUniversity of StirlingUniversity of Glasgow,FALSE,NA,NA,NA,-3.554664341,56.39978517
Ronnie Campbell,Labour,Labour,Blyth Valley,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,E14000575,E12000001,Northumberland,North East,England,Borough,09/06/2017 04:21,Lab hold,Lab,Con,63415,42490,70,7915,15855,23770,1947,0,918,0,0,0,0,0,0,0,0,0,0.373146623,0.559425747,18.6279124,14/08/1943,ronnie.campbell.mp@parliament.uk,Campbell,male,Ronnie,06c8a2d3-1ac8-4043-8a0f-6d751bb6842f,https://candidates.democracyclub.org.uk/media/images/553570db367dc5383f552cc2.png,"Campbell, Mr Ronnie",NA,NA,14/08/1943,78,https://en.wikipedia.org/wiki/Ronnie_Campbell,NA,NA,NA,NA,NA,-1.923695557,56.39978517
Dan Carden,Labour,Labour,"Liverpool, Walton",Male,0,0,0,0,0,0,0,0,0,1,0,0,0,E14000794,E12000002,Merseyside,North West,England,Borough,09/06/2017 02:59,Lab hold,Lab,Con,62738,42197,103,32551,3624,36175,638,0,523,0,0,0,0,0,0,0,1237,0,0.085882883,0.857288433,77.140555,28/10/1986,dan.carden.mp@parliament.uk,Carden,male,Dan,354469eb-50e6-4eb3-a0e9-11593add5e2d,https://upload.wikimedia.org/wikipedia/commons/8/86/Official_portrait_of_Dan_Carden_crop_2.jpg,"Carden, Dan",NA,NA,28/10/1986,35,https://en.wikipedia.org/wiki/Dan_Carden,London School of Economics,FALSE,NA,NA,NA,-4.098316465,54.58856075
Alistair Carmichael,Lib Dem,Other,Orkney And Shetland,Male,0,0,0,0,0,0,0,0,0,0,1,0,0,S14000051,S92000003,Scotland,Scotland,Scotland,County,09/06/2017 05:22,LD hold,LD,SNP,34164,23277,43,4563,2024,2664,11312,283,0,6749,0,0,0,0,0,0,245,0,0.086952786,0.114447738,19.6030416,15/07/1965,carmichaela@parliament.uk,Carmichael,male,Alexander,65debd30-e099-4df8-9320-ae6abd48ea16,https://candidates.democracyclub.org.uk/media/images/5481e939b150e238702c0647.png,"Carmichael, Mr Alistair",NA,NA,15/07/1965,56,https://en.wikipedia.org/wiki/Alistair_Carmichael,University of Aberdeen (LLB),FALSE,NA,NA,NA,-3.011007437,57.95949533
James Cartlidge,Conservative,Conservative,South Suffolk,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,E14000946,E12000006,Suffolk,East,England,County,09/06/2017 03:43,Con hold,Con,Lab,75485,54235,116,17749,32829,15080,3154,1449,1723,0,0,0,0,0,0,0,0,0,0.605310224,0.27804923,32.7260994,30/04/1974,james.cartlidge.mp@parliament.uk,Cartlidge,male,James,1234a6f8-6d85-42fa-8ff6-81b0f96d8494,https://candidates.democracyclub.org.uk/media/images/images/4229.png,"Cartlidge, James",NA,NA,30/04/1974,47,https://en.wikipedia.org/wiki/James_Cartlidge,University of Manchester,FALSE,NA,NA,NA,0.794581977,52.69306362
Bill Cash,Conservative,Conservative,Stone,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,E14000975,E12000005,Staffordshire,West Midlands,England,County,09/06/2017 03:56,Con hold,Con,Lab,67824,50032,99,17495,31614,14119,2222,1370,707,0,0,0,0,0,0,0,0,0,0.6318756,0.282199392,34.9676207,10/05/1940,cashw@parliament.uk,Cash,male,Bill,cd242fc0-2af0-417c-a059-a94e7b2940c6,https://candidates.democracyclub.org.uk/media/images/553c9c4441b868785b1fe677.png,"Cash, Sir William",NA,NA,10/05/1940,81,https://en.wikipedia.org/wiki/Bill_Cash,"Lincoln College, Oxford",TRUE,NA,NA,NA,-2.195521903,54.30965433
Jenny Chapman,Labour,Labour,Darlington,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,E14000658,E12000001,Durham,North East,England,Borough,09/06/2017 00:51,Lab hold,Lab,Con,66341,44817,79,3280,19401,22681,1031,1180,524,0,0,0,0,0,0,0,0,0,0.432893768,0.506080282,7.3186514,25/09/1973,jenny.chapman.mp@parliament.uk,Chapman,female,Jennifer,77703884-26c0-4da7-9144-636f933ed022,https://candidates.democracyclub.org.uk/media/images/553ca256e22f98bc5d30fa77.png,"Chapman, Jenny",NA,NA,25/09/1973,48,https://en.wikipedia.org/wiki/Jenny_Chapman,Brunel UniversityDurham University,FALSE,NA,NA,NA,-2.467350417,55.50458625
Douglas Chapman,SNP,Other,Dunfermline And West Fife,Male,0,0,0,0,0,0,0,0,0,0,0,0,1,S14000017,S92000003,Scotland,Scotland,Scotland,County,09/06/2017 02:58,SNP hold,SNP,Lab,75672,51010,73,844,12593,17277,3019,0,0,18121,0,0,0,0,0,0,0,0,0.246873162,0.338698294,1.6545775,05/01/1955,douglas.chapman.mp@parliament.uk,Chapman,male,Douglas,d35f92d3-5981-4fb2-bf64-3f875a2f6d21,https://candidates.democracyclub.org.uk/media/images/553c06ada8c0192f732ca8ea.png,"Chapman, Douglas",NA,NA,05/01/1955,66,https://en.wikipedia.org/wiki/Douglas_Chapman_(Scottish_politician),Edinburgh Napier University,FALSE,NA,NA,NA,-3.554664341,57.2744155
Bambos Charalambous,Labour,Labour,"Enfield, Southgate",Male,0,0,0,0,0,0,0,0,0,1,0,0,0,E14000692,E12000007,London,London,England,Borough,09/06/2017 04:52,Lab gain from Con,Lab,Con,65210,48328,158,4355,20634,24989,1925,0,780,0,0,0,0,0,0,0,0,0,0.426957457,0.517070849,9.0113392,02/12/1967,bambos.charalambous.mp@parliament.uk,Charalambous,male,NA,86fccf33-5b65-4a3a-b9e6-601400a01f46,https://upload.wikimedia.org/wikipedia/commons/f/f3/Official_portrait_of_Bambos_Charalambous_crop_2.jpg,"Charalambous, Bambos",NA,NA,02/12/1967,54,https://en.wikipedia.org/wiki/Bambos_Charalambous,Liverpool John Moores University,FALSE,NA,NA,NA,-0.836384233,52.49880839
Rehman Chishti,Conservative,Conservative,Gillingham And Rainham,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,E14000711,E12000008,Kent,South East,England,Borough,09/06/2017 04:19,Con hold,Con,Lab,72903,48868,90,9430,27091,17661,1372,2097,520,0,0,0,0,0,0,0,127,0,0.554370959,0.361402145,19.2968814,04/10/1978,rehman.chishti.mp@parliament.uk,NA,male,NA,83333279-b6f1-4052-bb61-7441fe52f06a,https://candidates.democracyclub.org.uk/media/images/55357370367dc5383f552cd6.png,"Chishti, Rehman",NA,NA,04/10/1978,43,https://en.wikipedia.org/wiki/Rehman_Chishti,Aberystwyth University,FALSE,NA,NA,NA,1.338238634,51.51457439
Christopher Chope,Conservative,Conservative,Christchurch,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,E14000638,E12000009,Dorset,South West,England,County,09/06/2017 02:26,Con hold,Con,Lab,70309,50634,161,25171,35230,10059,4020,0,1325,0,0,0,0,0,0,0,0,0,0.695777541,0.198660979,49.7116562,19/05/1947,chopec@parliament.uk,Chope,male,Christopher,cf2c31cd-3f13-4aea-a55e-e022c7f3039e,https://candidates.democracyclub.org.uk/media/images/55249f3bf0e9e2c82406eba5.png,"Chope, Sir Christopher",NA,NA,19/05/1947,74,https://en.wikipedia.org/wiki/Christopher_Chope,University of St Andrews[2],FALSE,NA,NA,NA,-3.826490034,51.01431652
Jo Churchill,Conservative,Conservative,Bury St Edmunds,Female,0,0,0,0,0,0,0,0,1,0,0,0,0,E14000613,E12000006,Suffolk,East,England,County,09/06/2017 03:54,Con hold,Con,Lab,86071,62160,152,18441,36794,18353,3565,0,2596,0,0,0,0,0,0,0,852,0,0.591924067,0.295254183,29.6669884,18/03/1964,jo.churchill.mp@parliament.uk,Churchill,female,Jo,f8bcf8ed-e8a8-4f19-b8e0-be4d6eed8629,https://candidates.democracyclub.org.uk/media/images/images/4657.png,"Churchill, Jo",NA,NA,18/03/1964,57,https://en.wikipedia.org/wiki/Jo_Churchill,NA,NA,NA,NA,NA,0.522755037,52.98283271
Colin Clark,Conservative,Conservative,Gordon,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,S14000037,S92000003,Scotland,Scotland,Scotland,County,09/06/2017 04:21,Con gain from SNP,Con,SNP,78531,53685,55,2607,21861,6340,6230,0,0,19254,0,0,0,0,0,0,0,0,0.407208718,0.118096303,4.8561051,20/05/1969,colin.clark.mp@parliament.uk,Clark,male,Colin,09a32353-2f7c-45ad-82cd-e21c6c54504f,https://upload.wikimedia.org/wikipedia/commons/0/0c/Official_portrait_of_Colin_Clark_crop_2.jpg,"Clark, Colin",NA,NA,20/05/1969,52,https://en.wikipedia.org/wiki/Colin_Clark_(politician),Heriot-Watt University,FALSE,NA,NA,NA,-3.011007437,57.44689769
Simon Clarke,Conservative,Conservative,Middlesbrough South And East Cleveland,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,E14000820,E12000001,Cleveland,North East,England,County,09/06/2017 03:21,Con gain from Lab,Con,Lab,72336,47620,144,1020,23643,22623,1354,0,0,0,0,0,0,0,0,0,0,0,0.49649307,0.475073499,2.1419572,28/09/1984,simon.clarke.mp@parliament.uk,Clarke,male,Simon,7ec7d0d4-796d-435a-8d52-1ffee45e7572,https://upload.wikimedia.org/wikipedia/commons/1/1d/Official_portrait_of_Mr_Simon_Clarke_crop_2.jpg,"Clarke, Mr Simon",NA,NA,28/09/1984,37,https://en.wikipedia.org/wiki/Simon_Clarke_(politician),"University College, Oxford",TRUE,NA,NA,NA,-0.836384233,55.86515054
James Cleverly,Conservative,Conservative,Braintree,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,E14000590,E12000006,Essex,East,England,County,09/06/2017 03:55,Con hold,Con,Lab,75316,52326,74,18422,32873,14451,2251,1835,916,0,0,0,0,0,0,0,0,0,0.62823453,0.276172457,35.2062072,04/09/1969,james.cleverly.mp@parliament.uk,Cleverly,male,James,474b5bf8-7a4d-435c-8fa4-88f4e55f7265,https://candidates.democracyclub.org.uk/media/images/5522590b328bff5d39338a62.png,"Cleverly, James",NA,NA,04/09/1969,52,https://en.wikipedia.org/wiki/James_Cleverly,Thames Valley University,FALSE,NA,NA,NA,0.522755037,52.78986828
Ann Clwyd,Labour,Labour,Cynon Valley,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,W07000070,W92000004,Gwent and Mid Glamorgan,Wales,Wales,County,09/06/2017 02:27,Lab hold,Lab,Con,51334,31802,71,13238,6166,19404,585,1271,0,0,4376,0,0,0,0,0,0,0,0.193887177,0.610150305,41.6263128,21/03/1937,ann.clwyd.mp@parliament.uk,NA,female,Ann,f9b9309e-bacb-43e5-8a37-eddd62230f5d,https://candidates.democracyclub.org.uk/media/images/55356eaa367dc5383f552cb3.png,"Clwyd, Ann",NA,NA,21/03/1937,84,https://en.wikipedia.org/wiki/Ann_Clwyd,"University of Wales, Bangor[1]",FALSE,NA,NA,NA,-4.098316465,52.303692
Vernon Coaker,Labour,Labour,Gedling,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,E14000710,E12000004,Nottinghamshire,East Midlands,England,County,09/06/2017 03:04,Lab hold,Lab,Con,71223,51682,83,4694,22139,26833,1052,1143,515,0,0,0,0,0,0,0,0,0,0.428369645,0.519194304,9.0824658,17/06/1953,vernon.coaker.mp@parliament.uk,Coaker,male,Vernon,6708cd85-0c00-46fd-8109-cd3fae02545f,https://candidates.democracyclub.org.uk/media/images/553b8ce5a621e036281d5742.png,"Coaker, Vernon",NA,NA,17/06/1953,68,https://en.wikipedia.org/wiki/Vernon_Coaker,University of WarwickNottingham Trent University,FALSE,NA,NA,NA,-0.564555628,54.12266095
Therese Coffey,Conservative,Conservative,Suffolk Coastal,Female,0,0,0,0,0,0,0,0,1,0,0,0,0,E14000981,E12000006,Suffolk,East,England,County,09/06/2017 03:13,Con hold,Con,Lab,79366,58074,236,16012,33713,17701,4048,0,1802,0,0,0,0,0,0,0,810,0,0.58051796,0.304800771,27.5717188,18/11/1971,therese.coffey.mp@parliament.uk,Coffey,female,Therese,1807f856-d641-4939-b768-a64d8ed1641b,https://candidates.democracyclub.org.uk/media/images/5534f956b247335574a42e41.png,"Coffey, Dr Thérèse",NA,NA,18/11/1971,50,https://en.wikipedia.org/wiki/Thérèse_Coffey,University of OxfordUniversity College London,TRUE,NA,NA,NA,1.066410326,52.78986828
Rosie Cooper,Labour,Labour,West Lancashire,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,E14001033,E12000002,Lancashire,North West,England,County,09/06/2017 03:29,Lab hold,Lab,Con,73257,54389,114,11689,20341,32030,1069,0,680,0,0,0,0,0,0,0,269,0,0.373991064,0.588905845,21.4914781,05/09/1950,rosie@rosiecooper.net,Cooper,female,Rosie,481a89bb-a56b-484a-bbd2-c11126acd610,https://candidates.democracyclub.org.uk/media/images/5519b5ffba7512a07da4793d.png,"Cooper, Rosie",NA,NA,05/09/1950,71,https://en.wikipedia.org/wiki/Rosie_Cooper,University of Liverpool,FALSE,NA,NA,NA,-4.37014495,54.86557064
Julie Cooper,Labour,Labour,Burnley,Female,0,0,0,0,0,0,0,0,0,1,0,0,0,E14000609,E12000002,Lancashire,North West,England,Borough,09/06/2017 01:49,Lab hold,Lab,Con,64709,40290,63,6353,12479,18832,6046,2472,461,0,0,0,0,0,0,0,0,0,0.309729461,0.467411268,15.7681807,20/06/1960,julie.cooper.mp@parliament.uk,Cooper,female,Julie,19941d9a-7683-4cf9-b0d8-30cad46a4df3,https://candidates.democracyclub.org.uk/media/images/55224beb328bff5d39338a2d.png,"Cooper, Julie",NA,NA,20/06/1960,61,https://en.wikipedia.org/wiki/Julie_Cooper_(politician),NA,NA,NA,NA,NA,-2.739178864,55.23197719
Jeremy Corbyn,Labour,Labour,Islington North,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,E14000763,E12000007,London,London,England,Borough,09/06/2017 03:07,Lab hold,Lab,Con,74831,54928,122,33215,6871,40086,4946,413,2229,0,0,0,0,0,0,0,383,0,0.125091028,0.729791727,60.4700699,26/05/1949,jeremy.corbyn.mp@parliament.uk,Corbyn,male,Jeremy,d0e0f592-3578-49aa-aa20-41f73e3fb7ea,https://candidates.democracyclub.org.uk/media/images/5520077d4dbf5aa077451a35.png,"Corbyn, Jeremy",The Right Honourable,NA,26/05/1949,72,https://en.wikipedia.org/wiki/Jeremy_Corbyn,North London Polytechnic (did not graduate),FALSE,NA,NA,NA,-0.292727345,52.303692
Ronnie Cowan,SNP,Other,Inverclyde,Male,0,0,0,0,0,0,0,0,0,0,0,0,1,S14000038,S92000003,Scotland,Scotland,Scotland,County,09/06/2017 02:21,SNP hold,SNP,Lab,58853,39093,57,384,8399,14666,978,0,0,15050,0,0,0,0,0,0,0,0,0.214846648,0.375156678,0.982273,06/09/1959,ronnie.cowan.mp@parliament.uk,Cowan,male,Ronnie,015d8fc7-106c-4e68-a6dc-ab7839e640b1,https://candidates.democracyclub.org.uk/media/images/54f4adac033446666b5fa6b6.png,"Cowan, Ronnie",NA,NA,06/09/1959,62,https://en.wikipedia.org/wiki/Ronnie_Cowan_(politician),NA,NA,NA,NA,NA,-4.37014495,56.83965451
Stephen Crabb,Conservative,Conservative,Preseli Pembrokeshire,Male,0,0,0,0,0,0,0,0,1,0,0,0,0,W07000065,W92000004,Dyfed,Wales,Wales,County,09/06/2017 05:11,Con hold,Con,Lab,58554,42197,59,314,18302,17988,1106,850,0,0,2711,0,0,0,0,0,1240,0,0.433727516,0.426286229,0.7441287,20/01/1973,stephen.crabb.mp@parliament.uk,Crabb,male,Stephen,b5e7da2e-eb53-4136-8a42-68626ea1ed11,https://candidates.democracyclub.org.uk/media/images/5534fa30b247335574a42e46.png,"Crabb, Stephen",NA,NA,20/01/1973,48,https://en.wikipedia.org/wiki/Stephen_Crabb,University of BristolUniversity of London,FALSE,NA,NA,NA,-5.729284739,51.91086655
David Crausby,Labour,Labour,Bolton North East,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,E14000578,E12000002,Greater Manchester,North West,England,Borough,09/06/2017 02:41,Lab hold,Lab,Con,67233,45183,90,3797,19073,22870,1316,1567,357,0,0,0,0,0,0,0,0,0,0.422127791,0.506163823,8.4036031,17/06/1946,crausbyd@parliament.uk,NA,male,David,b79c5be4-8a0c-4827-bf12-7dd644a43439,https://candidates.democracyclub.org.uk/media/images/551a0a9fb989d5e837ae99e3.png,"Crausby, Sir David",NA,NA,17/06/1946,75,https://en.wikipedia.org/wiki/David_Crausby,NA,NA,NA,NA,NA,-3.554664341,54.95748631
Angela Crawley,SNP,Other,Lanark And Hamilton East,Female,0,0,0,0,0,0,0,0,0,0,0,0,1,S14000042,S92000003,Scotland,Scotland,Scotland,County,09/06/2017 02:59,SNP hold,SNP,Con,77313,50470,57,266,16178,16084,1214,550,0,16444,0,0,0,0,0,0,0,0,0.32054686,0.318684367,0.5270458,03/06/1987,angela.crawley.mp@parliament.uk,Crawley,female,Angela,ef126943-a50e-4c68-a274-c0a9c7bff151,https://candidates.democracyclub.org.uk/media/images/54fde6de1ccf185f0d8cc4b7.png,"Crawley, Angela",NA,NA,03/06/1987,34,https://en.wikipedia.org/wiki/Angela_Crawley,University of StirlingUniversity of Glasgow,FALSE,NA,NA,NA,-3.282835117,56.13339713
John Cryer,Labour,Labour,Leyton And Wanstead,Male,0,0,0,0,0,0,0,0,0,1,0,0,0,E14000790,E12000007,London,London,England,County,09/06/2017 03:12,Lab hold,Lab,Con,65149,46173,139,22607,9627,32234,2961,0,1351,0,0,0,0,0,0,0,0,0,0.208498473,0.698113616,48.9615143,11/04/1964,john.cryer.mp@parliament.uk,Cryer,male,John,8397fe68-e3f8-4f6a-bf96-2fd74859b9b7,https://candidates.democracyclub.org.uk/media/images/55351f6eb247335574a42e7f.png,"Cryer, John",NA,NA,11/04/1964,57,https://en.wikipedia.org/wiki/John_Cryer,University of HertfordshireUniversity of the Arts London,FALSE,NA,NA,NA,-0.020900444,52.20580955
